,Description
911,"An enigmatic swordsman named Nomad (Patrick Swayze), wanders through the desert in a post-World War III world. He searches for his mentor's killer, the assassin Sho (Christopher Neame). The war itself is never described, but there are hints that a new government rose soon afterwards, though it has lost power since.
In the past, Nomad had a position of privilege as a soldier of the elite guard. Since firearms are no longer available, edged weapons have been revived as the standard fighting tools. The elite guard mastered the use of swords and carried them in an unusual, upright fashion. Nomad's family were, in some way, killed and this continues to torture him.
Nomad runs into a group of settlers in the town of Meridian. Damnil (Anthony Zerbe), a local landowner, and his gang are attacking the town to gain a monopoly on the local water supply. Nomad stays at a local farm owned by the widow Kasha (Lisa Niemi). She has a son named Jux, who quickly endears himself to Nomad. Kasha reveals to Nomad that she has an endless source of pure water under her land and plans to eventually irrigate the whole valley.
Nomad teams up with Kasha's foreman, Tark (Brion James), to oppose Damnil and his bullying tactics. Meanwhile, Nomad and Kasha's relationship becomes romantic. Sho and some of Damnil's men show up in town, leading to Sho and Nomad having a brutal staff fight. Tark gets in the way and is stabbed in the abdomen by Sho and dies. Jux is kidnapped by Damnil's men.
Nomad plans to rescue Jux, but is locked in a safe with his sword by Kasha. She goes to Damnil's farm alone, offering to reveal her source of water if they free Jux. A stand-off ensues, allowing Jux to escape. As Damnil's men chase him down, Nomad comes just in time to save Jux's life.
Nomad and Jux return to Damnil's farm to rescue Kasha. Nomad has a final battle with Sho. Nomad is victorious and kills Damnil as well. The valley begins Kasha's irrigation project. Nomad bids farewell to Kasha and Jux. They watch as he and his dog walk off into the desert."
912,"Sanjay Malhotra (Uday Chopra) lives in Mumbai with his friend Ria (Bipasha Basu). He receives a phone call from his childhood friend Anjali Sharma (Tulip Joshi) who shocks him with the news that she is getting married. Unfortunately Sanjay has loved Anjali for years. Jealous and frustrated Sanjay makes his way to Anjali with an intention to stop her marriage.
Sanjay goes to Anjali's home and soon meets her groom- Rohit Khanna (Jimmy Sheirgill). Sanjay then begins to scheme. He organises a bachelor party for Rohit and all the men in the family. Rohit ends up completely drunk. He picks up on the fact that Sanjay is out to stop his marriage and vows to make sure that Sanjay fails in this. Sanjay and Ria try to make Anjali jealous to make her understand she loves him. Later Ria tells Anjali that she and Sanjay were never lovers. Anjali reveals that she loved Sanjay all her life but the latter never understood it but considered her as only his best friend. Rohit is heartbroken when he comes to know of this. Rohit tells Anjali's mom that she and her daughter, Anjali always wanted Sanjay to marry Anjali from deep within their heart. On knowing his absence in her wedding, Anjali leaves for Mumbai to meet Sanjay in her bridal dress. She asks him why he left . Sanjay expresses his love for her saying that he can't see her marrying anyone else. Finally both express their love for each other. Even though Rohit fails in his challenge, he is happy for their love. Sanjay and Anjali get married, Rohit and Ria sing and dance in their best friend's wedding."
913,"James King is an extremely wealthy hedge fund manager at Barrow Funds, run by Martin Barrow. He is engaged to Barrow's daughter Alissa. James has come to know Darnell Lewis, a car wash attendant who accidentally frightened James in a parking lot. Darnell and Rita are trying to put their daughter Makayla in a better school, away from the bad neighborhood they live in.
During an engagement party for James and Alissa, the FBI arrive and arrest James for fraud and embezzlement. James' lawyer, Peter Penny, urges him to go for a guilty plea and a likely short sentence, but James refuses and insists that he will be exonerated. Instead, James is found guilty and sentenced to ten years in San Quentin State Prison, with only 30 days to get his affairs in order. Though forbidden from crossing county lines, James wants to flee the country with Alissa, but she dumps him.
James encounters Darnell and, assuming he has been incarcerated before because he is black, begs him for help and agrees to pay him $30,000 to toughen him up for prison. Darnell, who has little idea of how to act tough, trains James by pepper-spraying him, trying to get him to develop a ""mad dog"" face, and creating scenarios in which James must defend himself, but all of these efforts fail miserably. During the training, James gets in touch with Barrow and says he is getting help. Barrow, the actual crook, thinks James is onto him and orders a hitman named Gayle to monitor him.
With no sign that James is toughening up, Darnell figures that James should be prepared in other ways for prison and takes him to a gay hookup spot for James to learn how to perform oral sex in prison. James can't go through with it and tells Darnell that he will keep going and do whatever it takes to ""get hard"". James starts to work out harder and faster, makes shivs, and learns ""keistering"" (smuggling contraband in the anus). Darnell simulates a prison raid with help from James' domestic staff. In the chaos, James gets a shiv stuck in his head, so Darnell takes James to his home for Rita to treat it. He has dinner and listens to Darnell make up a story of how he went to prison, which is just a retelling of Boyz n the Hood.
James and Darnell resolve for James to join a local gang called the Crenshaw Kings to gain protection in prison. However, Darnell's cousin Russell, the gang leader, rebuffs James and redirects him to the Alliance of Whites gang. James is unable to be a convincing racist, leading the gang to think he is a cop, but Darnell rescues him by bursting in with a flamethrower.
Darnell and James finally deduce that Barrow is the crook. They sneak into his office and find the embezzlement records on Barrow's computer. Unfortunately, Gayle finds them and takes back the computer, while informing James that Darnell has never been in prison. Dejected, James returns to the Crenshaw Kings on his own. They accept him and order him to kill someone as their initiation. Darnell arrives in time to convince James to expose Barrow. The two sneak onto Barrow's yacht to retrieve the computer, only to come across Gayle and his men. James unleashes a series of capoeira moves on them before Barrow and Alissa arrive, both confessing to the fraud and embezzlement, a scheme that also included Peter. They try to convince James to run away with them, but he turns them down and heads to a life raft with Darnell. When Gayle shoots the life raft, James pulls out a gun he had ""keistered"" and aims it at Gayle. U.S. Marshals suddenly appear, summoned by the ankle monitor that James triggered, having worn it past the county line.
Barrow's computer provides the evidence needed to clear James. Barrow, Gayle, Alissa, and Barrow's men are taken away by the Marshals and James is cleared of all charges. However, he gets arrested for his unlicensed gun. Darnell's training helps James through his six-month prison sentence - something that Barrow is unprepared for as he is quickly attacked by inmates when his own lengthy San Quentin sentence begins. James spends his sentence helping the FBI retrieve all the assets that Barrow stole, while guiding Darnell's investments so that he and Rita are able to open their own carwash. As Darnell drives James home after his release, James announces his intent to celebrate his freedom with a Wall Street Journal and a forty, which he now considers a perfect Sunday."
914,"Deliveryman ""Mad"" Max Grabelski (Daniel Stern) is charged with delivering packages to millionaire Reinhart Bragdon (Anthony Heald) for $50 tips. During a late night delivery, Max accidentally stumbles across a fire in Bragdon's mansion and is cornered by FBI Agent Palmer (Jon Polito), but accidentally picks up Agent Palmer’s gun and manages to escape. Max later sees a news report in which Palmer claims that Bragdon was killed in the fire, which was set up by Max to stop him from exposing a money-laundering conspiracy. Now on the run from the law, Max contacts his boss and learns that a final package is to be delivered to Bragdon, but at his mountain cabin in Devil's Peak.
Max heads for Devil's Peak to clear his name, but a store clerk and scoutmaster Jack Erickson (Brad Sullivan) recognize his face and he is forced to threaten both with his gun, gluing Erickson to his car's steering wheel and ordering him to drive off to lure the police away while stealing Erickson's van. He is subsequently mistaken for a scoutmaster scheduled to lead a group of boy scouts on an expedition. Max goes along with the ruse to keep heading for Devil's Peak. The FBI find and release Erickson, and set up a base of operations at a nearby cabin while Palmer and Erickson pursue Max and the scouts. Though they are nearly captured, Max cuts the bridge between two cliffs, forcing Palmer and Erickson to take the longer route.
Along the way, the scouts build a makeshift radio and learn who Max truly is. They lace his water with sleeping pills and use smoke signs to signal their location to Erickson. Max ends up sedated, but Palmer handcuffs Erickson to a tree and captures Max alone, promising the scouts a rescue helicopter, but the suspicious scouts follow in secret. Max awakens and Palmer leads him to a helicopter, where Max discovers Bragdon is alive, working with Palmer to steal the laundered money from the authorities and having faked his death after coming under suspicion in order to frame Max. Before they can kill Max, the scouts intervene and knock Palmer out, but Max falls into the river and the scouts follow. They reach safety and throw their backpacks in the river to drive Palmer and Bragdon off. Out of supplies, the scouts decide to remain with Max and help him reach Devil's Peak. Meanwhile, one of the scouts' mothers, Mrs. Patterson (Ann Dowd) uncovers Max's discarded tissue and realizes that he is leading them to Devil's Peak, and gives chase in her van when Palmer's bumbling assistant, Agent McMurrey (Tom Wood), refuses to help her. She arrives first, but is captured by Bragdon.
Max and the scouts arrive as Bragdon receives the final package. Palmer catches up and prepares to kill them, but is subdued by Erickson, who freed himself and followed Max. Max sneaks into the cabin to free Mrs. Patterson. Bragdon appears and forces them to the edge of the cliff at gunpoint. Mrs. Patterson's son, Gordy, charges Bragdon but falls over a cliff and hangs onto a branch for his life. Max knocks Bragdon out and climbs down the cliff and pulls Gordy to safety.
With Bragdon and Palmer captured, Max's name is cleared and in response to his efforts, he is awarded a scoutmaster's honor and given charge of an even bigger group of scouts for a more challenging mission, to his chagrin."
915,"The movie is set at St. Francis Academy (also the name of the school in Sister Act 2), a fictional all-girls Catholic boarding school in Pennsylvania, operated by an order of nuns. Rosalind Russell plays the Mother Superior, who spends the movie at odds with Mary Clancy (Hayley Mills), a rebellious teenager, and her friend Rachel Devery (June Harding). The episodic story line follows the young women through their sophomore, junior and senior high-school years as they pull pranks on the sisters and repeatedly get into trouble. Although Mary spends much of her time at St. Francis resenting the authority of the Mother Superior and puzzling over why any woman would choose the life of a nun, as time goes on she is touched by examples of the sisters' dedication, devotion, kindness, love, and generosity, and begins to see that their life is one of fulfillment, not deprivation. Mary receives ""the call"" senior year and, after graduation, remains at the school to begin her novitiate in the order."
916,"Tommy Tanner (Wheeler) and Egbert G. Higginbotham (Woolsey) are two vaudevillians who were kicked out of the last town they performed in. After fleeing to the town of Lockville, the duo befriend elderly widow Mother Talley (Lucy Beaumont). Mother is upset because she is unable to get customers into her drug store. In addition, Mother owes a payment on a bank note to Harry Watters (Jason Robards). Tommy and Egbert decide to turn Mother's drugstore into a money-making venture, even producing their own afternoon radio program right in the store. Harry, who wants to buy the store as part of a bootlegging operation, attempts to sell the duo an alcohol-laced drink, referring to it as ""lemon-syrup"". The ""syrup"" gains praise from everybody in town, until the police show up to close down the operation. Tommy and Egbert are suspicious of Harry, and it is up to them to find Harry, clear their name, and save Mother's store."
917,"Three brothers live at home with their parents and work at the family restaurant that has been managed by their father for the past 25 years. The brothers expect one day to take over the restaurant themselves, but one morning their father comes to the realization that he hates working there and he sells the restaurant without consulting the rest of the family. This begins to break apart the family, and one of the brothers, angry with the father's decision, leaves to find another job. The father subsequently dies from a heart attack."
918,"Los Angeles TV horror hostess Elvira, Mistress of the Dark quits her job after the station's new owner sexually harasses her. She plans to open an act in Las Vegas, but needs $50,000 for the project. Upon learning she is a beneficiary of her deceased great-aunt Morgana, she travels to Fallwell, Massachusetts, to claim the inheritance, which includes a mansion and Morgana's pet poodle, Algonquin.
In Fallwell, Elvira's worldly attitude and revealing clothes set the conservative town council against her. But theater operator Bob Redding befriends her. The town's teenagers quickly accept her, to the chagrin of their parents, who consider her a bad influence. Bowling alley owner Patty is interested in Bob, and with help from members of the school board and the PTA, she humiliates Elvira by sabotaging the late-night film festival she was presenting at Bob's theater. Elvira struggles to sell the house, so she can depart for Las Vegas. Meanwhile, she is unaware that her seemingly-harmless uncle Vincent is actually a warlock who is obsessed with obtaining Morgana's spellbook; he plans to kill Elvira and conquer the world, and has been fuelling the townspeople's hostility.
Elvira tries to impress Bob with a home-cooked dinner, but mistakenly uses the spellbook as a cookbook and summons a creature that attacks them. Elvira learns that the book was her mother Divana's spellbook, and that Morgana hid her to protect her from Vincent. When Elvira tries to unleash the creature against the Morality Club at their picnic, she prepares the brew incorrectly and it instead has an aphrodisiac effect; the adults remove each other's clothing indiscriminately and are arrested for indecent exposure. When Patty confronts Elvira, the resulting fistfight ends up humiliating Patty by revealing that her bra is stuffed.
Vincent leads the townspeople in arresting Elvira for witchcraft, which is still illegal in the state. They decide to burn her at the stake. The teenagers try to free her from jail, but fail and accidentally lock themselves into a different cell. Bob tries to recover the spellbook from the mansion, but is tied up by Vincent, who takes the book. Algonquin transforms into a rat and unties Bob. Elvira is tied to a stake and the fire is lit, but she uses Morgana's ring to summon rain that quenches the fire; she escapes with Bob. At the mansion, Elvira and Vincent engage in a magical battle that sets fire to the house. Elvira banishes Vincent to the underworld, while the house and all of the magical artifacts are destroyed.
The next day, Elvira prepares to leave town. The townspeople apologize for their behavior, and everyone asks Elvira to stay. She kisses Bob but, as she is homeless, she insists that she must leave. Elvira has inherited Vincent's estate, which included enough money to open her show in Las Vegas. At a Las Vegas hotel, Elvira performs a lavishly produced musical number."
919,"Henry Graham, a playboy from a wealthy patrician family, has run through his entire inheritance and is completely unequipped to provide for himself. His childhood guardian, Uncle Harry, refuses to give him a dime. Henry considers but is unwilling to exercise the only solution he can think of—suicide. At the suggestion of his valet Harold, Henry decides the only other viable option open to him: marrying into wealth. With a $50,000 loan from Uncle Harry to tide him over, Henry has just six weeks to find a rich bride and repay the money, otherwise he must forfeit all of his property to his uncle.
Desperation sets in as Henry's attempts to meet a suitable mate comically fail. With only days remaining, Henry meets clumsy, painfully shy heiress Henrietta Lowell, a botany professor. She is the answer to his prayers; wealthy and with no family. However, Henrietta's suspicious (and crooked) lawyer Andy McPherson is a problem for Henry, as his Uncle Harry plots with the shyster to prove to Henrietta that Henry only wants her for her money. They fail, and Henrietta marries Henry. On their honeymoon, Henrietta discovers what may be an undescribed species of fern.
Murder never far from his mind, Henry takes charge of his wife's life. He reorganizes her household staff, who had been taking full advantage of her timidity and naivete—and sharing their profits with her former lawyer. He also learns how to manage accounts and a vast estate. Henrietta is completely disorganized and welcomes Henry's guidance. She also finds out that he has a B.A. in history, and suggests he could get a teaching job at the university she works at, so they could be together all the time and grade term papers together. Wishing nothing more than to be rich, single, and completely idle, Henry finds this prospect utterly horrifying.
When Henrietta's fern is confirmed as an entirely new species, she names it Alsophila grahami after Henry. He is unexpectedly touched, since this gives him a form of immortality, something he has always desired. She invites him to join her on her canoe trip to the Adirondacks for her annual field trip. Henry sees this as an opportunity to rid himself of Henrietta forever in a remote area with no witnesses. He is tortured by mosquitoes and utterly miserable as they portage their way from lake to lake.
Before Henry can figure out a way to dispose of her, their canoe capsizes in an area of rapids. Henry makes it to shore, but Henrietta tells him she cannot swim. Henry tells her to let go of the log she's clinging to and he'll rescue her—intending to do nothing of the sort. Then just as he's departing the scene, already thinking of the story he'll tell to the police, he finds an example of the fern Henrietta named after him and turns to tell Henrietta about it, forgetting just for a moment what he's done. He discovers that the token she gave him with a sample of the fern in it has been lost, and he is deeply upset. In this moment Henry realizes that his old life is gone forever, along with the man he used to be, and despite himself he loves Henrietta. Cursing the turn of events, he rescues Henrietta and embraces his unexpected fate as a married man and future professor of history. Henrietta asks him if he'll always be there to take care of her, to which he responds ""I'm afraid so."" They literally walk off into the sunset together, as birds sing and twee music plays."
920,"Ageing English bachelor Sir Basil Winterton (C. Aubrey Smith) suddenly has his hands full when his three grown (illegitimate) children return. Tony (Marion Davies) is a sharp tongued New Yorker, Maria is an aspiring opera singer and Ray Milland is the son.
Tony and Basil grow fond of each other, as do Tony and Ashley, but Sir Basil's Lawyer strikes when Tony learns that she is not really the daughter of Sir Basil. Sir Basil soon learns of the mistake and confronts Tony. She leaves Basil's estate and on flying back to the United States her plane crashes on take-off as Sir Basil reads a telegram that Tony sent before she boarded the plane. It explained that she loved him very much and she was sorry for what had happened.
Luckily Tony has survived the disaster and is carried into Sir Basil's living room to rest by Ashley. The film ends happily with Sir Basil promising to adopt Tony and Ashley promising to make her his wife."
921,"A constantly bickering Anglo-Irish family live in a crumbling 'big house', when their lives are interrupted by the unexpected arrival of a German cousin.[2]"
922,"Gloria Mullins has been sent to her home town of Grimley to determine the profitability of the pit for the management of British Coal. She also plays the flugelhorn, and is allowed to play with the local brass band after playing Concierto de Aranjuez with them. The band is made up of miners from whom she must conceal her purpose. She renews a childhood romance with Andy Barrow, which soon leads to complications. Andy is bitter about the programme of pit closures and determined to fight on, but he is also realistic about the circumstances and predicts a 4-to-1 majority for closure and redundancy. When Andy realises that Gloria is working for management, he accuses her of naïvety for thinking that the Coal Board is considering whether the pit has any viable future and argues that the decision to close Grimley would have been taken years ago. It is later revealed during a confrontation between Gloria and the management of the colliery that the decision to close the colliery had been made two years previously, and that this was to have gone ahead regardless of the findings of her report; the report was simply a public relations exercise to placate the miners and members of the public sympathetic to their plight.
The passionate band conductor, Danny Ormondroyd, finds he is fighting a losing battle to keep the rest of the band members committed. His son Phil is badly in debt and becomes a clown for children's parties, but fails to prevent his wife and children walking out on him. In debt, Phil votes for the redundancy money, which he becomes ashamed of. As Danny collapses in the street and is hospitalised, Phil suffers a mental breakdown while entertaining a group of children as part of a harvest festival in a church. He refers to himself as ""Coco the scab""—a name that he had been called by a debt collector who he had asked to wait until the redundancy money had come through. Eventually he attempts suicide by trying to hang himself, but is taken to the hospital. Phil reveals to Danny that in light of the colliery's closure, the band has decided not to continue playing.
When Jim realises that Gloria is working for management, he is unimpressed with Andy's relationship with her. In a pub conversation, the other miners are not particularly concerned and feel that Jim is being too harsh on Andy. When Andy says that he should be old enough to make his own decisions, Jim responds with, ""Old enough to be a scab then?"" This attracts the whole pub's attention, as it signals a serious argument. Jim then withdraws the insult and says that Andy is just ""stupid"". Later on in the film, Jim asks Gloria to leave the band and mocks her attempts to fund the band's trip to the National Finals.
With the intention that it will be their last performance, the band, in full uniform, and wearing their miners' helmets and lamps, plays ""Danny Boy"" late at night outside the hospital. Andy, having lost his tenor horn in a bet, whistles along with his hands in his pockets. After they finish, they all switch off their lamps.
Whilst the band is playing in the National Semi-Finals, the outcome of the ballot is announced as 4-to-1 in favour of redundancy, as Andy had predicted. (It is later implied that, of the five miners who make up the main characters, four of them had voted for redundancy and only Andy had voted for the review procedure.)
After Gloria sets up a bank account to fund travel to the National Finals, the band is brought back together to compete. Andy wins his tenor horn back in a game of pool, and having forgiven Gloria, after she gives them the money she was paid to compile the report (saying she does not want it because it's ""dirty money""), the band travels to the final at the Royal Albert Hall in London (Birmingham Town Hall was used to film these scenes),[5] where they are amused by the inability of the woman on the dressing room's PA system to pronounce 'colliery'. Before departing, Phil leaves a note for Danny saying that they are going to the finals. Danny arrives just in time to see the band win the competition with a stirring rendition of the William Tell Overture, during which Phil notices his wife and children are in the audience. Danny refuses to accept the trophy stating that it is only human beings that matter and not music or the trophy and that ""this bloody government has systematically destroyed an entire industry. Our industry. And not just our industry—our communities, our homes, our lives. All in the name of 'progress'. And for a few lousy bob."" However, following this gesture, another band member takes the trophy anyway. The band celebrates their victory as Andy and Gloria kiss on the upper deck of an open-topped bus travelling through London, while the rest of the band play Land of Hope and Glory conducted by Danny."
923,"O.C. & Stiggs is the adventure of two Arizona teenagers. In their car, the Gila Monster, they pick up sluts (loose women), torture their nemesis, Randall Schwab, while procuring liquor from ""Wino Bob"" (a bum who lives in the oleander bushes behind the 7-Eleven)."
924,"Sathya (S. J. Suryaah) is a casanova by character and pursues Tina (Shradha Arya), a woman around. He sets his sights on Haritha (Nayanthara) and manages to woo her. She loves him whole heartedly and he is not in favor of that. At one moment he falls for Haritha, but at the same time, she comes to know about his real character, and she ends their relationship. The story is about how Sathya changes himself and earns her love back."
925,"Victor Joseph (Adam Beach) and Thomas Builds-the-Fire (Evan Adams) live on the Coeur D'Alene Indian Reservation in Plummer, Idaho. Thomas is an eccentric storyteller and Victor is an angry young man who enjoys playing basketball.
Victor and Thomas are brought together through Victor's father, Arnold (Gary Farmer). Arnold rescued Thomas as an infant from a house fire that killed his parents. Because of this, Thomas considers him a hero. On the other hand, Victor, who endures Arnold's alcoholism, domestic violence, and eventual child abandonment, regards his father with both deep love and bitter resentment. Thomas and Victor grow up together as neighbors and acquaintances, fighting with each other and simultaneously forming a close, albeit uneasy, alliance.
When Arnold dies in Phoenix, Arizona, where he has stayed after leaving Victor and his mother Arlene (Tantoo Cardinal), Victor and Thomas go on an adventure to retrieve his ashes. The trip is the means for Victor and Thomas to explore their identities. Neither of them loses sight of his identity as an ""Indian,"" but their perspectives differ. Victor is more stoic and Thomas is more traditional (and romantic to the point of watching the feature film Dances with Wolves countless times). Their dichotomy is portrayed all through the film; it results in Victor being irritated with Thomas, and Thomas being fascinated with Victor.
Once they reach Phoenix, Victor has to confront his conflicted feelings about his father, as well as his own identity. He has to grapple with a new account of Thomas's parents' death, as told by his father's friend, Suzy Song (Irene Bedard). She says that a drunken Arnold set off fireworks, accidentally starting the fire that cost Thomas his parents. The road trip by the young men leads to Thomas reconciling with the memory of his adoptive father Arnold, as he understands more of his path to alcoholism and related abuse and abandonment. Victor also gains a better understanding of Thomas and his reverence for Arnold."
926,"Siddhant Rai (Rishi Kapoor) is a wealthy architect, living a comfortable lifestyle with his three children Rohit, Rahul and Rani. Also living with them is their butler B.B.C (Tiku Talsania). Because they have no mother, Siddhant has arranged for many governesses or teachers to take care of them, but the children always drive any of these governesses and teachers away. Siddhant soon decides to send his children to boarding school but changes his mind when B.B.C reminds him that when Siddhant threw his younger brother out of the house, he never came back again. Siddhant, however, arranges for another governess.
Meanwhile, a con man named Shekhar (Ajay Devgn) and his friend Jadu (Johnny Lever) have just robbed a bank and are on the run from police. Shekhar comes across the beautiful Anna (Kajol) who is to be the governess of the Rai children. Shekhar tries to woo Anna with no success. Shekhar and Jadu follow Anna to the Rai household; Shekhar now believes he has met a rich girl and believes he has hit the jackpot. Although the children initially try and drive Anna away, they come to accept her as an older sister. Shekhar continues to woo Anna and she eventually returns his feelings. With Siddhant's permission, the two get married. On the wedding day, Siddhant learns that Shekhar is a criminal: he stole the wedding rings and only married Anna to gain Siddhant's wealth. Shekhar is sent to prison and Anna decides to leave the house.
Siddhant is soon killed in a car accident. The children are placed under the care of their cruel maternal uncles, who only have interest in Siddhant's fortune. The children are in a terrible situation—the court decides that they need to be separated. Just as the magistrate intends to sign their adoption papers, a young man comes in and claims that he is Rajit Rai, Siddhant's younger brother—the man is none other than Shekhar. The magistrate believes that the man is truly Siddhant's brother, so refuses to sign the adoption papers, however he sets a date for a hearing in which the appropriate guardian shall be granted custody of the Rai children. The children are at first unhappy to have Shekhar back in their lives—however, B.B.C and Jadu explain that Shekhar is the only one who can help the children. The children warm up to their new 'Raj Chacha.' Anna soon returns to the house and is angry to see Shekhar again as she believes he is attempting to rob the children. Problems arise when another man (Sanjay Dutt) enters the house and says that he is Rajit Rai. The uncles are now confused as this man looks and acts more like the real Rajit Rai. Shekhar makes a deal with them - if they prove to the magistrate that Shekhar is the real Raju Chacha, he shall only take 25% of the share. The uncles agree but soon learn that Shekhar tricked them and that the 'real' Raju Chacha they met is none other than a fellow conman of Shekhar's. The relatives are driven away. Anna reconciles with Shekhar when she learns his real intentions. Anna and Shekhar start to look after the children.
However, their happiness is short-lived when the relatives return and expose Shekhar, who is sent back to jail. Meanwhile, the children are shocked to learn that their father was killed by their relatives, all for his money. The children's lives are again in danger until Shekhar breaks out of prison and kills the relatives in the same way that killed Siddhant. Shekhar and Anna get married and are given custody of the three children. However, they are still on the lookout for the real Raju Chacha."
927,"Las Vegas mob enforcer Jack Carter returns home to Seattle after hearing that his brother, Ritchie, was killed in a drunk-driving accident. His partner, Con McCarty, covers for him with the mob boss, Fletcher -whose girlfriend Audrey is having an affair with Jack.
At his brother's funeral, Jack meets his niece, Doreen, and Eddie, a friend and coworker of Ritchie. Both tell Jack that Ritchie rarely drank and would never have driven while intoxicated; Eddie also said Ritchie was most certainly not involved in illicit activities. He also talks to a woman, Geraldine, but she is evasive and cryptic about her relationship to Ritchie. At the wake, Jack continues questioning mourners and well-wishers about what happened to his brother, drawing the ire of Ritchie's widow.
He confronts the owner of the club Ritchie managed, loan shark Cliff Brumby. Brumby doesn’t believe Ritchie was murdered, but does tell Jack that Ritchie was having an affair with Geraldine, an associate of local boss Cyrus Paice.
Jack questions Paice but doesn’t get any useful information. He follows Paice and is lead to Jeremy Kinnear, a wealthy computer mogul who hired Paice to discreetly procure beautiful women for him at parties so he can present a ""professional"" and squeaky-clean image. However, Paice is now blackmailing Kinnear into running Paice's pornographic websites. Unable to get any straight answers, Jack carefully examines surveillance tapes from Brumby's club.
He discovers that Paice produces amateur porn movies using young girls drugged and raped by Eddie and Geraldine; one video shows Doreen as one of the victims. Geraldine found out Doreen was Ritchie’s daughter and gave the video disc to Richie, but Ritchie was murdered and set up to look like an accident before he could take it to the police.
Audrey breaks up with Jack, who tells Fletcher that he is done with Vegas; McCarty and another gangster are sent to confront Jack. Jack talks with Doreen about what happened in the video, comforting her and telling her she is a good person.
Jack sets out on a path of vengeance. Geraldine calls Jack, apologizing for what happened to Doreen and says that Paice is coming to kill her; Jack arrives to find her body. He then heads to Eddie's apartment to interrogate him. Eddie tells Jack that Paice is at Kinnear's; Jack throws him off the balcony to his death. McCarty tracks Jack to Eddie's apartment, beginning a car chase; McCarty is forced off the road, crashing violently and presumably killing the mobsters. At Kinnear's house, Jack confronts Paice, who claims Kinnear is the man behind Ritchie's murder. Jack attempts to hit Paice from behind, but Paice sees him in a reflection and ducks. Paice then pummels him to the ground while commenting that Ritchie put up more of a fight than he did, thereby admitting that he was involved in his brother's death. Paice walks away and joins some women on the busy dance floor.
Bloodied, Jack gets up and follows Paice to the dance foor, telling him he should finish what he starts. Paice agrees; he tries to sucker punch Jack, but Jack floors him with one punch before brutally beating Paice. Jack pulls his pistol and points it directly at Paice's face, but changes his mind and leaves him on the floor, bloody and unconscious.
Jack confronts Kinnear, who says that he only told Paice to get the disc back from Ritchie, not kill him, and that Paice and Brumby committed the murder; Jack lets Kinnear live.
Jack finds Brumby attempting to steal the disk from Jack’s car. Brumby admits involvement in the murder, warning Jack that killing him will force him to run for the rest of his life. As Brumby walks away, Jack calls out to him. Brumby won't turn around and Jack shoots him in the back.
Having settled the score for his brother, Carter meets Doreen one last time at Ritchie's grave and explains that he has to go away for a while. After reminding her that she is special, they say their goodbyes. Carter gets into his car and opens a map that leads to Las Vegas."
928,"The story centers around the Chandragiri family whose head Madhava Menon is liked by all in the village. His only son Arjun who is a student in Manipal. As Madhava Menon's popularity rises and spreads to other parts, so does the number of enemies who feel that he is stealing the limelight from them. Things reach a pass where Arjun had to be summoned from Manipal to clear up the atmosphere and restore order. The constant struggles between Madhava Menon and Arjun Madhav on one side and their enemies on the other side is the main theme in the story."
929,"Police officer Pitt's (Wan Yeung-ming) partner Lau was killed by the triads. The case also involves the seizure of a number of pornographic photos of politicians from an earlier investigation. The murder was witnessed by chef Fat Goose (Sammo Hung), and Pitt forces him to be the eyewitness and have the killer arrested. The killer, Lam Man-fu (Tommy Wong), however, was bailed out by his lawyer Kam Tse-ping (Lam Chung) and Pitt's superior Keung (Lau Kong) also forbids him from interfering with this case. At this time, Fat Goose's house was also torched and was determined to cooperate with Pitt to tackle the triads."
930,"A short-tempered, violent criminal named White Tiger is on the run from the police and joins a theater troupe to hide out, killing anyone who angers him or who suspects his identity. One person he unsuccessfully tries to kill several times is a cowardly laundry man named Mousy, who manages to escape by fleeing. When Mousy's close friend and elder brother figure, Leung Foon, is killed by White Tiger, Mousy overcomes his cowardliness enough to seek revenge.
In a scene early on in the film, Mousy is washing the laundry with his bossy sister. After complaining about the repetitiveness of laundry work, his sister scolds him and demands he wash the clothes in the ""family way."" This leads to a scene with Mousy flipping the clothes around with his hands and wringing them out with powerful squeezing from this index finger and middle finger. These abilities turn out to be related to kung-fu methods, as Mousy eventually uses the same laundry method to defeat White Tiger."
